dataset,lambda_max_stability,loglik_max_stability,stability_max_stability,lambda_max_loglik,loglik_max_loglik,stability_max_loglik,overlapping.F1.mean,overlapping.F1.sd,overlapping.F1v.mean,overlapping.F1v.sd,overlapping.F2.mean,overlapping.F2.sd,overlapping.F3.mean,overlapping.F3.sd,overlapping.F4.mean,overlapping.F4.sd,neighborhood.N1,neighborhood.N2.mean,neighborhood.N2.sd,neighborhood.N3.mean,neighborhood.N3.sd,neighborhood.N4.mean,neighborhood.N4.sd,neighborhood.T1.mean,neighborhood.T1.sd,neighborhood.LSC,linearity.L1.mean,linearity.L1.sd,linearity.L2.mean,linearity.L2.sd,linearity.L3.mean,linearity.L3.sd,dimensionality.T2,dimensionality.T3,dimensionality.T4,balance.C1,balance.C2,network.Density,network.ClsCoef,network.Hubs.mean,network.Hubs.sd
abalone-class10,0.02706652070033241,-0.4131913066971717,0.699548423078999,3.424006137971426e-4,-0.40485403434111866,0.01852997091092334,0.9761193580717382,0.007548937078419985,0.7239405133405464,NA,0.03894659364958769,NA,0.9329180642069956,NA,0.9216578821274557,NA,0.3385241974125539,0.4105432283013156,0.1345091992947255,0.23981792045999042,0.4270233861871254,0.19429803545759464,0.39570673859263883,4.510599909788002e-4,0.0017079428991245607,0.9946300931060902,0.13185918274624553,NA,0.15189266890273123,NA,0.14135122184954485,NA,0.002156205079060853,7.187350263536176e-4,0.3333333333333333,0.6145565123032328,0.6529399957753305,0.8437844720394909,0.23902685501075172,0.7999695599157545,0.16496213856631967
abalone-class11,0.03023294684405778,-0.33787906722575967,0.6544616406948798,0.00132777082935543,-0.33129983217001924,0.33308207644490817,0.9577340022274872,0.017838277206765823,0.6115394234190684,NA,0.023148189300787308,NA,0.937949209391471,NA,0.9226161954959272,NA,0.2759942501197892,0.39260940732475696,0.1371115336460599,0.19238140872065165,0.39421825769313895,0.1403929084810733,0.34743583526830735,5.241090146750524e-4,0.0018895092541382878,0.9938324361294701,0.10447942839016477,NA,0.11667465261140397,NA,0.11308097747963586,NA,0.002156205079060853,7.187350263536176e-4,0.3333333333333333,0.5197261095328569,0.7403584578506844,0.8383841132633165,0.2268865957967502,0.8504299843904917,0.1582978856236161
abalone-class8,0.05184593543892913,-0.39333503564299127,0.944169879478017,2.081221569986339e-4,-0.3489801312232108,0.040289256198348,0.9849449724107598,0.008860138175803466,0.6104731165736275,NA,0.011869861030659625,NA,0.9142309535218016,NA,0.8811691423095352,NA,0.29923334930522283,0.40102919500369655,0.1289632665464556,0.21298514614278868,0.40946628921454553,0.16554863440344994,0.3717195016150657,5.167958656330749e-4,0.001984937295327219,0.994624238532325,0.1195860678580496,NA,0.1358409199808337,NA,0.13416387158600862,NA,0.002156205079060853,7.187350263536176e-4,0.3333333333333333,0.5732420470112941,0.6931925425995831,0.840202451449647,0.23070183820425283,0.8674426732491265,0.1235454978846345
abalone-class9,0.01336983741824946,-0.4392563155208575,0.8311140495867768,5.256791122018425e-4,-0.4168827872160288,0.08403805496828665,0.9972607671890219,0.0026062400744753826,0.6949139871562001,NA,0.015463565587917522,NA,0.928605654048874,NA,0.907762338284619,NA,0.3603258265452803,0.42287857764002956,0.12360255083414337,0.2532343076185913,0.43491609511311186,0.19357930043124102,0.3951503049977227,4.257130693912303e-4,0.001121251432397043,0.9970620371299365,0.14166902259707603,NA,0.1650694777192142,NA,0.15644465740297075,NA,0.002156205079060853,7.187350263536176e-4,0.3333333333333333,0.6463005805294639,0.619465091213544,0.8449336213555301,0.24364953024861946,0.8715744293436992,0.11976647213926467
adult-class<=50K,0.03520031472796681,-0.3863858182301117,1,5.791122647641759e-4,-0.3267676505394821,0.2880895995636813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adult-class>50K,0.03424006137971424,-0.384862347746551,1,6.120498372476697e-4,-0.32658112991987526,0.28515758958112414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
appendicitis-class0,0.12220446866314884,-0.45756017041315367,0.30391927808266395,0.043314832233764,-0.4324009231943885,0.10961038961038948,0.8260444744475395,0.07421740000769343,0.21349583798290336,NA,0.04464209913632892,NA,0.7075471698113207,NA,0.2641509433962264,NA,0.25471698113207547,0.3793831693743668,0.1407111750717656,0.16037735849056603,0.3686989339060152,0.1509433962264151,0.3596943895981084,0.02564102564102564,0.053757847047551474,0.9078853684585262,0.10065568960806504,NA,0.1132075471698113,NA,0.13207547169811318,NA,0.0660377358490566,0.02830188679245283,0.42857142857142855,0.7181384220154764,0.5343073310722671,0.8334231805929919,0.47301702281781965,0.6706540115986087,0.2598001831892615
appendicitis-class1,0.14426439512181577,-0.468073669340792,0.34160160349356317,0.03065395295056526,-0.4036367331710769,0.13996878356951836,0.8260444744475395,0.07421740000769343,0.21349583798290336,NA,0.04464209913632892,NA,0.7075471698113207,NA,0.2641509433962264,NA,0.25471698113207547,0.3793831693743668,0.1407111750717656,0.16037735849056603,0.3686989339060152,0.11320754716981132,0.3183515492264467,0.02564102564102564,0.053757847047551474,0.9078853684585262,0.10065568960806504,NA,0.1132075471698113,NA,0.12264150943396224,NA,0.0660377358490566,0.02830188679245283,0.42857142857142855,0.7181384220154764,0.5343073310722671,0.8334231805929919,0.47301702281781965,0.6706540115986087,0.2598001831892615
australian-class0,0.1750827031735724,-0.48289298713481105,1,0.00591250841383187,-0.33991469891301124,0.1937454927525849,0.9125546133514976,0.14154561106763208,0.347599133464749,NA,0.0030555921904686905,NA,0.9666666666666667,NA,0.9478260869565217,NA,0.2710144927536232,0.35693311216015017,0.1826063379215147,0.18695652173913044,0.39015944918032053,0.05652173913043478,0.23109398490774577,0.004132231404958678,0.008625533957252822,0.9840873766015543,0.12400601634668318,NA,0.14347826086956517,NA,0.12463768115942031,NA,0.020289855072463767,0.004347826086956522,0.21428571428571427,0.9912308989033521,0.023972972299927786,0.8783828695231485,0.5905557161016007,0.5629502809947995,0.17253633189652934
australian-class1,0.1799928506782477,-0.4859812629510168,1,0.00460960448682843,-0.3326811273305828,0.14943322293231345,0.9125546133514976,0.14154561106763208,0.347599133464749,NA,0.0030555921904686905,NA,0.9666666666666667,NA,0.9478260869565217,NA,0.2710144927536232,0.35693311216015017,0.1826063379215147,0.18695652173913044,0.39015944918032053,0.04927536231884058,0.2165993863498693,0.004132231404958678,0.008625533957252822,0.9840873766015543,0.12400601634668318,NA,0.14347826086956517,NA,0.15217391304347827,NA,0.020289855072463767,0.004347826086956522,0.21428571428571427,0.9912308989033521,0.023972972299927786,0.8783828695231485,0.5905557161016007,0.5629502809947995,0.17253633189652934
